City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,tual,-5.6667,132.75,28.49,72,96,4.54,ID,1741629396
130,patrocinio,-18.9439,-46.9925,27.79,46,46,2.07,BR,1741629137
131,avarua,-21.2078,-159.775,26.03,94,40,3.09,CK,1741629398
132,san antonio de pale,-1.4014,5.6325,28.55,82,87,3.55,GQ,1741629400
133,lethem,3.3803,-59.7968,33.51,42,88,4.36,GY,1741629401
134,bodaybo,57.8506,114.1933,-23.49,99,88,1.32,RU,1741629402
135,praia da vitoria,38.7333,-27.0667,16.14,94,75,2.7,PT,1741629403
136,veshkayma,54.05,47.1333,-2.08,93,95,1.62,RU,1741629405
137,narvik,68.4384,17.4272,-2.89,91,82,2.93,NO,1741629406
138,zaozersk,69.4005,32.4476,-8.53,94,100,3.9,RU,1741629407
139,vila franca do campo,37.7167,-25.4333,18.27,99,99,4.1,PT,1741629408
140,san luis de la loma,17.2706,-100.8939,28.82,61,12,3.84,MX,1741629410
141,montego bay,18.4712,-77.9188,28.89,70,20,5.14,JM,1741629137
142,tibiri,13.5627,7.0485,34.63,12,83,4.66,NE,1741629412
143,jamestown,42.097,-79.2353,13.56,53,0,4.12,US,1741629352
144,flying fish cove,-10.4217,105.6791,26.82,94,100,3.6,CX,1741629415
145,guatire,10.4762,-66.5427,30.91,44,54,2.65,VE,1741629416
146,asia,9.5506,122.5164,25.53,79,32,3.73,PH,1741629417
147,port saint john's,-31.6229,29.5448,22.73,84,100,1.8,ZA,1741629418
148,constantia,44.1833,28.65,6.38,66,27,5.44,RO,1741629419
149,lorengau,-2.0226,147.2712,26.75,79,98,1.22,PG,1741629420
150,weiser,44.251,-116.9693,11.84,52,100,1.21,US,1741629421
151,rey bouba,8.6724,14.1786,34.38,12,100,1.04,CM,1741629423
152,lagos,6.5833,3.75,29.09,74,95,3.47,NG,1741629424
153,iskateley,67.6803,53.1512,-9.8,96,100,3.5,RU,1741629426
154,sidhi,24.4167,81.8833,23.32,13,31,1.15,IN,1741629427
155,ardestan,33.3761,52.3694,12.65,66,25,1.81,IR,1741629428
156,ebon,4.582,168.6964,27.22,79,46,8.2,MH,1741629429
157,juneau,58.3019,-134.4197,2.45,95,100,7.2,US,1741629431
158,poronaysk,49.2167,143.1167,-1.21,91,98,3.1,RU,1741629207
159,tianpeng,30.9866,103.9393,11.15,79,99,1.82,CN,1741629433
160,laguna,38.421,-121.4238,13.59,65,0,0.45,US,1741629434
161,aranda de duero,41.6704,-3.6892,7.61,70,100,3.7,ES,1741629435
162,rosa zarate,0.3333,-79.4667,32.21,57,78,1.0,EC,1741629436
163,wenchang,30.904,118.4887,13.06,81,70,1.64,CN,1741629437
164,berezovyy,51.6667,135.7,-8.41,97,100,1.01,RU,1741629438
165,tshabong,-26.05,22.45,29.51,35,58,1.89,BW,1741629440
166,mpika,-11.8343,31.4529,16.39,95,75,0.86,ZM,1741629441
167,yaren,-0.5472,166.916,26.67,82,93,6.03,NR,1741629442
168,hawaiian paradise park,19.5933,-154.9731,21.6,95,100,7.2,US,1741629443
169,cidreira,-30.1811,-50.2056,23.78,49,8,4.06,BR,1741629444
170,nicoya,10.1483,-85.452,36.37,28,96,5.33,CR,1741629445
171,yoichi,43.2039,140.7703,-0.21,81,11,4.66,JP,1741629446
172,mahina,-17.5065,-149.489,25.87,78,100,1.54,PF,1741629447
173,lake city,30.1897,-82.6393,19.27,82,100,7.2,US,1741629235
174,denizciler,36.6495,36.2296,14.01,90,7,1.51,TR,1741629450
175,saint-louis,16.3333,-15.0,35.49,10,9,4.15,SN,1741629451
176,skive,56.5667,9.0333,5.09,95,36,1.34,DK,1741629453
177,pisco,-13.7,-76.2167,23.34,73,0,4.12,PE,1741629455
178,shingu,33.7333,135.9833,8.54,88,100,1.32,JP,1741629456
179,olonkinbyen,70.9221,-8.7187,-3.66,85,100,5.48,SJ,1741629457
180,paulo afonso,-9.4061,-38.2147,34.16,43,40,5.66,BR,1741629458
181,raja,8.4596,25.678,28.29,16,4,2.07,SS,1741629459
182,vorgashor,67.5833,63.95,-27.0,100,82,1.86,RU,1741629460
183,labytnangi,66.6572,66.4183,-27.37,99,95,2.13,RU,1741629461
184,sur,22.5667,59.5289,25.44,49,0,1.39,OM,1741629462
185,afaahiti,-17.75,-149.2833,26.81,78,99,6.93,PF,1741629464
186,iqaluit,63.7506,-68.5145,-11.15,73,100,4.12,CA,1741629465
187,maxcanu,20.5833,-89.9833,27.89,51,98,3.62,MX,1741629466
188,mukalla,14.5425,49.1242,24.24,75,14,1.46,YE,1741629467
189,lospalos,-8.5186,127.0025,22.58,95,100,1.45,TL,1741629468
190,vilyuchinsk,52.9306,158.4028,-9.85,83,97,4.45,RU,1741629469
191,kirakira,-10.4544,161.9205,26.44,83,100,1.75,SB,1741629470
192,colonia,50.9333,6.95,15.14,40,0,1.54,DE,1741629472
193,pekanbaru,0.5333,101.45,26.18,94,40,0.0,ID,1741629473
194,solwezi,-12.1688,26.3894,18.16,95,96,1.12,ZM,1741629461
195,nemuro,43.3236,145.575,0.58,78,42,6.74,JP,1741629475
196,kronau,49.2225,8.6311,11.91,85,100,3.59,DE,1741629476
197,lihue,21.9789,-159.3672,21.77,94,100,8.75,US,1741629229
198,petropavlovsk-kamchatsky,53.0452,158.6483,-10.67,73,75,1.0,RU,1741629478
199,aripuana,-9.1667,-60.6333,28.18,67,99,0.9,BR,1741629479
200,khurba,50.4072,136.8819,-3.22,99,100,1.16,RU,1741629480
201,pithora,21.2667,82.5167,25.43,20,0,1.79,IN,1741629482
202,hadibu,12.65,54.0333,25.39,71,80,3.22,YE,1741629221
203,kavieng,-2.5744,150.7967,27.28,80,100,3.89,PG,1741629319
204,cestos city,5.46,-9.5828,28.06,79,76,5.29,LR,1741629485
205,dereli,40.7378,38.4493,9.5,70,10,2.44,TR,1741629486
206,qui nhon,13.7667,109.2333,23.09,91,95,2.84,VN,1741629373
207,uturoa,-16.7333,-151.4333,27.38,74,100,5.02,PF,1741629488
208,talnakh,69.4865,88.3972,-29.61,80,54,2.19,RU,1741629489
209,saint-joseph,-21.3667,55.6167,26.21,78,22,2.45,RE,1741629490
210,new norfolk,-42.7826,147.0587,13.84,81,83,0.78,AU,1741629492
